annee,nombre_de_chartes
1181,3
1182,4
1183,0
1184,1
1185,0
1186,2
1187,0
1188,0
1189,2
1190,1
1191,2
1192,5
1193,1
1194,8
1195,2
1196,1
1197,1
1198,0
1199,4
1200,1
1201,1
1202,1
1203,2
1204,2
1205,0
1206,0
1207,1
1208,5
1209,1
1210,1
1211,3
1212,3
1213,0
1214,0
1215,4
1216,1
1217,3
1218,0
1219,0
1220,11
1221,9
1222,9
1223,17
1224,11
1225,10
1226,9
1227,12
1228,10
1229,10
1230,15
1231,11
1232,15
1233,18
1234,11
1235,9
1236,9
1237,28
1238,5
1239,4
1240,9
1241,4
1242,1
1243,11
1244,7
1245,6
1246,4
1247,9
1248,9
1249,4
1250,9
1251,1
1252,7
1253,17
1254,6
1255,10
1256,7
1257,6
1258,8
1259,3
1260,11
1261,3
1262,1
1263,4
1264,6
1265,2
1266,0
1267,1
1268,1
1269,7
1270,13
1271,6
1272,5
1273,2
1274,4
1275,10
1276,3
1277,2
1278,2
1279,10
1280,15
1281,5
1282,13
1283,15
1284,3
1285,4
1286,1
1287,8
1288,1
1289,4
1290,3
1291,6
1292,4
1293,1
1294,2
1295,6
1296,8
1297,8
1298,4
1299,11
1300,2
1301,6
1302,3
1303,3
1304,3
1305,1
1306,0
1307,2
1308,2
1309,2
1310,1
1311,2
1312,4
1313,3
1314,6
1315,3
1316,3
1317,3
1318,0
1319,1
1320,3
1321,0
1322,0
1323,2
1324,0
1325,1
1326,4
1327,0
1328,3
1329,4
1330,2
1331,6
1332,0
1333,6
1334,1
1335,2
1336,4
1337,1
1338,2
1339,2
1340,2
1341,0
1342,4
1343,0
1344,2
1345,1
1346,1
1347,1
1348,1
1349,1
1350,0
1351,0
1352,1
1353,1
1354,0
1355,2
1356,3
1357,0
1358,5
1359,0
1360,2
1361,0
1362,1
1363,3
1364,1
1365,0
1366,1
1367,0
1368,0
1369,0
1370,1
1371,1
1372,0
1373,1
1374,1
1375,0
1376,0
1377,0
1378,0
1379,3
1380,1
1381,0
1382,2
1383,1
1384,1
1385,0
1386,0
1387,0
1388,1
1389,0
1390,0
1391,2
1392,1
1393,0
1394,0
1395,0
1396,0
1397,0
1398,1
1399,1
1400,0
1401,0
1402,0
1403,0
1404,2
1405,0
1406,1
1407,3
1408,1
1409,0
1410,0
1411,2
1412,0
1413,1
1414,0
1415,1
1416,1
1417,0
1418,0
1419,1
1420,0
1421,1
1422,0
1423,0
1424,0
1425,1
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,1
1433,0
1434,1
1435,0
1436,0
1437,0
1438,0
1439,0
1440,1
1441,0
1442,0
1443,0
1444,1
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,1
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,1
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,1
